filename,path,md5sum
MSK_DETFOO_B04.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B04.gml,094ee062016fea4bd8c853418302d682
MSK_DETFOO_B05.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B05.gml,077a59d24b7afb2a68e44b753d7689fb
MSK_DETFOO_B06.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B06.gml,a4c7337ac08b0cc16fd1346d39c0e488
MSK_DETFOO_B07.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B07.gml,6402d945f46fe15d790244e6bbcdd0c3
MSK_DETFOO_B08.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B08.gml,29173ddfdd5b7ed37fa3a902b0ae19c1
MSK_DETFOO_B09.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B09.gml,23cbdf51fa8067bdbbc704d24b20b1aa
MSK_DETFOO_B10.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B10.gml,42a24fb55bbc661e4e52af95acce281d
MSK_DETFOO_B11.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B11.gml,04b7f0a8626a3f18e7e14b3eaf83bc2b
MSK_DETFOO_B12.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B12.gml,a8df73204dd903166e5d788606b32903
MSK_DETFOO_B8A.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_DETFOO_B8A.gml,4808eae699f700db13e0f4f29e2b020e
MSK_NODATA_B01.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_NODATA_B01.gml,be3d754851bcbe354a3fab2db38cd74d
MSK_NODATA_B02.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_NODATA_B02.gml,46e459fd6ce25cc94ba3745aef7f0736
MSK_NODATA_B03.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_NODATA_B03.gml,d9f2ce1c3d97438615caa0555fe5f6d4
MSK_NODATA_B04.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_NODATA_B04.gml,528dd68e2f9299e0b2051785c5118995
MSK_NODATA_B05.gml,S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/S2A_MSIL1C_20191122T142731_N0208_R053_T20MRD_20191122T160846.SAFE/GRANULE\L1C_T20MRD_A023073_20191122T142731\QI_DATA\MSK_NODATA_B05.gml,ee4aef89dc8b93e3a2696af5e803659c
